289,Gucci Mane
290,Gunna
291,Halsey
292,Joyner Lucas
293,Lewis Capaldi
294,Lil Uzi Vert
295,Lizzo
296,Logic
297,Macklemore
298,Mark Ronson
299,Meek Mill
300,Michl
301,Nav/Attack
302,PnB Rock
303,Powerwolf
304,Ruelle
305,Still Corners
306,Travis Scott
307,Tyga
308,Tyler  The Creator
309,Young Thug
310,Alice Merton
311,Andy Black
312,AnnenMayKantereit
313,Cigarettes After Sex
314,Death
315,Disturbed
316,Eagulls
317,Fall Out Boy
318,Glass Animals
319,Godsmack
320,Incubus
321,Joywave
322,Lorde
323,Melendi
324,Motionless in White
325,Natalie Merchant
326,NeedtoBreathe
327,Orchestral Manoeuvres in the Dark (OMD)
328,Papa Roach
329,Paramore
330,Payable On Death (P.O.D.)
331,Rise Against
332,Russ
333,Sean Paul
334,Suicideboys
335,Tash Sultana
336,The Cranberries
337,The Offspring
338,The Vaccines
339,Velvet Revolver
340,A Day to  Remember
341,Adele
342,Ariana Grande
343,Blink-182
344,Fergie
345,Miley Cyrus
346,The 1975
347,AJR
348,Avicii
349,Caravan Palace
350,Cazzette
351,Eden
352,Greta Van Fleet
353,Illenium
354,James Blunt
355,Jonas Brothers
356,Kodaline
357,Nightwish
358,Of Monsters and Men
359,One Direction
360,OneRepublic
361,Owl City
362,Rosalía
363,Warmen
364,BTS
365,EXO
366,Ghost
367,Joan Jett & The Blackhearts
368,Los Prisioneros
369,Simple Plan
370,The Weeknd
371,Blackbear
372,Breaking Benjamin
373,Caifanes
374,Pantera
375,Phoenix
376,Three Days Grace
377,Zoé
378,Pierce the Veil
379,Our Last Night
380,Royal Blood
381,Zaz
382,Bastille
383,Kaleo
384,El Tri
385,Panda (PXNDX)
386,Sleeping With Sirens
387,Phil Collins
388,Los Ramones
389,Elvis Presley
390,Cultura Profetica
391,Fito Paez
392,Thousand foot krutch
393,KISS
394,Ozzy Osbourne
395,Deep Purple
396,los fabulosos cadillacs
397,Tyler Joseph
398,Tricky
399,Hozier
400,Arctic Monkeys
401,Modest Mouse
402,Creed
403,Sia
404,The Sex Pistols
405,Daft Punk
406,Bullet for my Valentine
407,Ill Niño
408,The All American Rejects
409,Vitamin X
410,Talking Heads
411,The War On Drugs
412,Bring Me the Horizon
413,Shriekback
414,Imagine Dragons
415,The White Stripes
416,Christina Perri
417,The Red Jumpsuit Apparatus
418,GIT
419,Enjambre
420,Dio
421,Bazzi
422,Astrix
423,Avril Lavigne
424,Bars and Melody
425,blur
426,sodom
427,Jarabe de palo
428,Sopor Aeternus and the Ensemble of Shadows
429,Panteón Rococó
430,Scarlxrd
431,Falling Up
432,Nattramn
433,Primus
434,Ruel
435,pillar
